Año,Organismo Promotor,Empleos potenciales comprometidos,Empleos mejorados comprometidos,Empresas atendidas potenciales comprometidas,Empresas atendidas existentes comprometidas,Certificaciones Organizacionales comprometidas,Implantaciones comprometidas, Monto de aportación del PROSOFT ," Monto de aportación de la entidad federativa
 ", Monto de aportación del sector privado , Monto de aportación del sector académico , Monto de aportación de otros aportantes , Total de aportaciones ,Localización-Municipio del Proyecto,Localización-Entidad Federativa del Proyecto,Vinculado al Banco Mundial,Componente de Banco Mundial
2005,AMITI,0,6,0,5,0,0,"$72,600.00",$0.00,"$217,800.00",$0.00,$0.00,"$290,400.00",Querétaro,Querétaro,0,
2005,Baja California,50,0,0,1,0,0,"$494,540.00",$0.00,"$1,120,287.00",$0.00,"$1,000,000.00","$2,614,827.00",Mexicali,Baja California,0,
2005,Nuevo León,0,50,0,1,0,0,"$160,000.00","$160,000.00","$320,000.00",$0.00,$0.00,"$640,000.00",Monterrey,Nuevo León,0,
2005,Baja California,16,0,0,1,0,0,"$686,300.00",$0.00,"$2,058,898.00",$0.00,$0.00,"$2,745,198.00",Mexicali,Baja California,0,
2005,Durango,23,0,0,1,0,0,"$750,000.00","$750,000.00","$1,500,000.00",$0.00,$0.00,"$3,000,000.00",Durango,Durango,0,
2005,Sonora,1,20,1,1,0,0,"$650,000.00","$918,705.60",$0.00,$0.00,$0.00,"$1,568,705.60",Cajeme,Sonora,0,
2005,Sinaloa,0,43,0,11,0,0,"$1,500,325.00","$1,500,325.00","$3,000,000.00",$0.00,$0.00,"$6,000,650.00",Varios,Sinaloa,0,
2005,Sonora,0,1,0,4,0,0,"$1,160,000.00","$1,046,244.00",$0.00,$0.00,$0.00,"$2,206,244.00",Cajeme,Sonora,0,
2005,AMITI,22,8,0,1,0,0,"$332,500.00",$0.00,"$997,500.00",$0.00,$0.00,"$1,330,000.00",Huixquilucan,Estado de México,0,
2005,Tamaulipas,1,0,0,1,0,0,"$250,000.00","$250,000.00","$500,000.00",$0.00,$0.00,"$1,000,000.00",Laredo,Tamaulipas,0,
2005,Tamaulipas,10,20,0,1,0,0,"$950,000.00","$1,040,000.00","$2,050,000.00",$0.00,$0.00,"$4,040,000.00",Ciudad Victoria,Tamaulipas,0,
2005,Jalisco,0,21,0,7,0,0,"$128,938.00","$128,938.00","$257,876.00",$0.00,$0.00,"$515,752.00",Guadalajara,Jalisco,0,
2005,Tamaulipas,5,3,0,1,0,0,"$144,818.00","$152,428.00","$304,857.00",$0.00,$0.00,"$602,103.00",Ciudad Victoria,Tamaulipas,0,
2005,Jalisco,0,17,0,1,0,0,"$202,500.00",$0.00,"$607,500.00",$0.00,$0.00,"$810,000.00",Guadalajara,Jalisco,0,
2005,Nuevo León,20,0,0,1,0,0,"$963,494.00","$963,494.00","$2,000,000.00",$0.00,$0.00,"$3,926,988.00",General Escobedo,Nuevo León,0,
2005,Tamaulipas,2,0,1,5,0,0,"$471,000.00","$471,000.00","$942,000.00",$0.00,$0.00,"$1,884,000.00",Tampico,Tamaulipas,0,
2005,Veracruz,3,3,0,1,0,0,"$202,676.00","$202,676.00","$405,954.00",$0.00,$0.00,"$811,306.00",Córdoba,Veracruz,0,
2005,Veracruz,2,3,0,1,0,0,"$145,946.00","$145,946.00","$291,891.00",$0.00,$0.00,"$583,783.00",Orizaba,Veracruz,0,
2005,Tlaxcala,2,0,1,8,0,0,"$149,161.00","$149,161.00",$0.00,$0.00,$0.00,"$298,322.00",Varios,Tlaxcala,0,
2005,Veracruz,0,100,0,50,0,0,"$3,216,861.00","$3,216,861.00","$5,972,000.00",$0.00,$0.00,"$12,405,722.00",Varios,Veracruz,0,
2005,Chihuahua,1,45,0,4,0,0,"$2,359,724.00","$2,103,976.00","$2,029,016.00",$0.00,$0.00,"$6,492,716.00",Chihuahua,Chihuahua,0,
2005,Veracruz,0,100,0,34,0,0,"$4,421,000.00","$4,421,000.00",$0.00,"$4,193,000.00",$0.00,"$13,035,000.00",Xalapa,Veracruz,0,
2005,Veracruz,4,1,0,1,0,0,"$114,692.00","$114,692.00","$229,384.00",$0.00,$0.00,"$458,768.00",Orizaba ,Veracruz,0,
2005,Tamaulipas,1,0,0,1,0,0,"$27,162.00","$27,162.00","$54,325.00",$0.00,$0.00,"$108,649.00",Victoria,Tamaulipas,0,
2005,Tamaulipas,51,0,1,2,0,0,"$750,000.00","$750,000.00","$1,500,000.00",$0.00,$0.00,"$3,000,000.00",Victoria,Tamaulipas,0,
2005,Aguascalientes,6,6,0,1,0,0,"$325,520.00","$325,520.00","$789,707.00",$0.00,$0.00,"$1,440,747.00",Aguascalientes,Aguascalientes,0,
2005,Aguascalientes,9,17,0,4,0,0,"$910,500.00","$910,500.00","$1,820,000.00",$0.00,$0.00,"$3,641,000.00",Aguascalientes,Aguascalientes,0,
2005,Aguascalientes,40,4,0,1,0,0,"$349,542.00","$349,542.00","$699,085.00",$0.00,$0.00,"$1,398,169.00",Aguascalientes,Aguascalientes,0,
2005,Aguascalientes,15,5,0,1,0,0,"$313,620.00","$313,620.00","$627,240.00",$0.00,$0.00,"$1,254,480.00",Aguascalientes,Aguascalientes,0,
2005,Sinaloa,0,30,0,2,0,0,"$2,000,000.00","$1,500,000.00","$1,536,000.00","$1,060,000.00","$3,490,000.00","$9,586,000.00",Culiacán,Sinaloa,0,
2005,Aguascalientes,10,0,0,1,0,0,"$121,356.00","$121,356.00","$242,713.00",$0.00,$0.00,"$485,425.00",Aguascalientes,Aguascalientes,0,
2005,Aguascalientes,3,0,0,11,0,0,"$128,750.00","$128,750.00","$257,500.00",$0.00,$0.00,"$515,000.00",Aguascalientes,Aguascalientes,0,
2005,Veracruz,4,1,1,1,0,0,"$157,091.00","$157,091.00","$316,170.00",$0.00,$0.00,"$630,352.00",Xalapa ,Veracruz,0,
2005,Yucatán,23,0,0,1,0,0,"$309,290.00","$309,290.00","$618,581.00",$0.00,$0.00,"$1,237,161.00",Mérida,Yucatán,0,
2005,Sonora,57,0,0,1,0,0,"$200,000.00","$200,000.00","$53,350.00",$0.00,$0.00,"$453,350.00",Cajeme,Sonora,0,
2005,Chihuahua,1,120,1,13,0,0,"$750,000.00","$375,000.00","$375,000.00",$0.00,$0.00,"$1,500,000.00",Chihuahua,Chihuahua,0,
2005,AMCIS,0,4,0,1,0,0,"$1,230,400.00",$0.00,"$3,691,200.00",$0.00,$0.00,"$4,921,600.00",Coyoacán,Distrito Federal,0,
2005,Veracruz,14,0,1,2,0,0,"$155,500.00","$155,500.00","$189,000.00",$0.00,$0.00,"$500,000.00",Xalapa,Veracruz,0,
2005,Yucatán,1,0,0,1,0,0,"$38,718.00","$38,718.00","$77,436.00",$0.00,$0.00,"$154,872.00",Mérida,Yucatán,0,
2005,Yucatán,0,5,0,1,0,0,"$503,560.00","$503,560.00","$1,007,123.00",$0.00,$0.00,"$2,014,243.00",Mérida,Yucatán,0,
2005,Sonora,1,0,0,1,0,0,"$200,000.00","$200,000.00",$0.00,"$208,000.00",$0.00,"$608,000.00",Cajeme,Sonora,0,
2005,Sonora,7,2,0,1,0,0,"$610,000.00","$610,000.00","$1,220,000.00",$0.00,$0.00,"$2,440,000.00",Hermosillo,Sonora,0,
2005,Veracruz,10,2,0,1,0,0,"$447,734.00","$447,734.00","$895,464.00",$0.00,$0.00,"$1,790,932.00",Veracruz,Veracruz,0,
2005,Sonora,2,7,0,1,0,0,"$260,691.00","$260,692.00","$173,794.00",$0.00,$0.00,"$695,177.00",Hermosillo,Sonora,0,
2005,Sonora,0,1,0,1,0,0,"$116,223.00","$116,223.00","$77,482.00",$0.00,$0.00,"$309,928.00",Cajeme,Sonora,0,
2005,Sonora,1,0,1,1,0,0,"$486,127.00","$486,127.00","$324,084.00",$0.00,$0.00,"$1,296,338.00",Cajeme,Sonora,0,
2005,Tamaulipas,0,10,0,1,0,0,"$50,000.00","$50,000.00","$100,000.00",$0.00,$0.00,"$200,000.00",Victoria,Tamaulipas,0,
2005,Sonora,2,2,0,1,0,0,"$266,287.00","$266,287.00","$532,574.00",$0.00,$0.00,"$1,065,148.00",Hermosillo,Sonora,0,
2005,Sonora,0,10,0,10,0,0,"$2,050,000.00","$1,772,000.00",$0.00,$0.00,$0.00,"$3,822,000.00",Varios,Sonora,0,
2005,Aguascalientes,100,0,0,1,0,0,"$2,500,000.00",$0.00,"$5,939,180.00",$0.00,$0.00,"$8,439,180.00",Aguascalientes,Aguascalientes,0,
2005,Aguascalientes,15,0,1,1,0,0,"$270,843.00","$224,281.00","$495,125.00",$0.00,$0.00,"$990,249.00",Aguascalientes,Aguascalientes,0,
2005,Veracruz,15,13,0,1,0,0,"$600,000.00","$600,000.00","$1,200,000.00",$0.00,$0.00,"$2,400,000.00",Xalapa,Veracruz,0,
2005,Jalisco,30,0,0,1,0,0,"$6,600,000.00","$1,432,500.00","$79,107,340.00",$0.00,$0.00,"$87,139,840.00",Guadalajara,Jalisco,0,
2005,Durango,50,100,0,10,0,0,"$3,078,850.00","$3,078,850.00","$3,240,000.00",$0.00,$0.00,"$9,397,700.00",Durango,Durango,0,
2005,Yucatán,0,20,0,2,0,0,"$900,000.00","$900,000.00","$1,800,000.00",$0.00,$0.00,"$3,600,000.00",Mérida,Yucatán,0,
2005,Yucatán,1,0,0,1,0,0,"$41,250.00","$41,250.00","$82,500.00",$0.00,$0.00,"$165,000.00",Mérida,Yucatán,0,
2005,Sonora,1,0,0,1,0,0,"$108,675.00","$108,675.00","$72,450.00",$0.00,$0.00,"$289,800.00",Hermosillo,Sonora,0,
2005,Jalisco,90,0,0,1,0,0,"$1,900,000.00",$0.00,"$3,220,000.00",$0.00,"$4,685,000.00","$9,805,000.00",Guadalajara,Jalisco,0,
2005,Guanajuato,1,0,0,1,0,0,"$72,000.00","$72,000.00","$144,000.00",$0.00,$0.00,"$288,000.00",Nuevo León,Guanajuato,0,
2005,Sinaloa,15,18,7,15,0,0,"$615,000.00","$615,000.00","$36,000.00",$0.00,$0.00,"$1,266,000.00",Culiacán,Sinaloa,0,
2005,Aguascalientes,1,0,0,1,0,0,"$150,000.00","$150,000.00","$312,523.00",$0.00,"$180,000.00","$792,523.00",Rincón de Romos,Aguascalientes,0,
2005,Jalisco,12,0,0,1,0,0,"$1,613,500.00",$0.00,"$6,023,268.00",$0.00,$0.00,"$7,636,768.00",Guadalajara,Jalisco,0,
2005,Guanajuato,1,0,0,1,0,0,"$511,195.00","$511,695.00","$1,021,890.00",$0.00,$0.00,"$2,044,780.00",Nuevo León,Guanajuato,0,
